business_id,name,is_open,postal_code,stars,Ambiance,Drinks,Food,Price,Service
max,NA,NA,NA,4,9.389999999999999,12.71,12.26,21.77,17.13
min,NA,NA,NA,3,-0.06999999999999995,0,0.01,-0.13,-0.020000000000000004
Average Scores,NA,NA,NA,3.06,1.5,2.08,1.94,1.62,2.88
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,1,93101,3,3.4099999999999997,3.8800000000000003,4.840000000000001,2.07,6.790000000000001
bjhCtlYHrkgA5Ku8l-rB3g,Our Daily Bread,0,93105,3,0.44999999999999996,0.78,0.96,1.4200000000000002,2.4200000000000004
O6RCCmz8-x4NhWJpI8KQug,Breakfast Culture Club,0,93101,3,1.09,2.77,0.5800000000000001,0.7,1.57
xIGiif0TmmmGuV2-sidMSw,La Bella Rosa Bakery Cafe,1,93101,3,0.16,0.17,0.29,0.29,0.42000000000000004
ghLjxj4HoSHdflBEz2lIqA,Gelson's,1,93105,3,0.8200000000000001,0.35,0.65,0.71,1.3400000000000003
23OxrUaCvvVrwSa1z3xG-w,Recipes Bakery & Gifts: An Australian Coffee House,1,93101,3,1.4800000000000002,3.27,1.03,1.29,1.9599999999999997
7kLn2XsFwyJ-yFn4qx40TQ,Buena Onda at Mosaic Locale,1,93101,3.2,0.17,0.02,0.14,0.4,0.5800000000000001
7grEnJV48N6BxbEP3uxISA,Mr B Restaurant & Cafe,1,93105,3,0.11,0.03,0.11,0.06,0.37
QS0a4snAEc-zdLeLIgTaHg,Delicious Expressions,0,93101,4,0.34,0.23,0.85,0.33,0.93
-loV4cB2Uh9TCltTRgGzWQ,Renaud's Patisserie & Bistro,1,93101,3,2.4,5.22,5.13,2.22,4.71
PT99vOEnfEwfOly9YoWvXg,Christine Dahl,0,93101,3,0.76,0.43000000000000005,0.6,-0.05,0.99
WQnjp_CEYTYKBBKJDME0bQ,Vons,0,93105,3,0.010000000000000002,0,0.01,-0.13,-0.020000000000000004
LtxG9DTXCFpteVkD4SGBlw,Sevtap Winery Tasting Room,1,93101,3,2.3,0.14,2.26,1.34,3.09
VgAKmXE8B7J0I_O_R13UKQ,Santa Barbara Roasting Company,1,93101,3,4.36,12.71,0.9800000000000002,5.13,4.960000000000001
JZrspVMm79n_iHTYftkI0g,La Tapatia Bakery,1,93103,3,0.38,0.08,0.21,0.19,0.26
Hj44PIrCtv61ETVclzLMwg,Jeannine's American Bakery Restaurant,0,93101,3,4.05,3.1099999999999994,3.46,2.62,8.01
Z0mBsgDzDnFAEC5o4X6G9g,Java Station,1,93110,3,1.51,3.6399999999999997,0.8,1.8699999999999999,2.0700000000000003
T5serOgucL236udCsZI0jA,Xanadu Bakery,0,93108,3,0.1,0.41000000000000003,0.31,0.26,0.21
FH0MVF7kK0D76Hh4e7hXfQ,Jeannine's American Bakery Restaurant,1,93105,3,3.7,5.57,5.95,2.7399999999999998,11.270000000000001
L4-_gPiqsuX50JN_-qUhNQ,Jeannine’s American Bakery & Restaurant,1,93101,3.7,0.39,0.5700000000000001,0.4,0.25,1.39
jWhlz8LesaC7jZL9bHNe9A,Bree’Osh,1,93105,4,0.27,0.49,0.42000000000000004,0.07,0.29000000000000004
jWgZRpdHy8csA1sUz1auSw,Daniel's Bakery and Mexican Food,1,93105,3.2,0.05,0.03,0.04,0.01999999999999999,-0.010000000000000009
8JzURExziDYuCrd7Ve9nDQ,Los Tarascos Bakery and Deli,1,93101,3,0.12000000000000001,0.32000000000000006,0.35000000000000003,0.55,0.32000000000000006
DdD7j67fu8kM6DkvY4JCIA,Panaderia Veronica,0,93103,3,0.07,0.030000000000000002,0.19000000000000003,0.12,0.21000000000000002
cQDwJjslebJv5Co7gCm2Yw,Cafe Ana,0,93101,3,1.48,0.86,0.4600000000000001,0.45999999999999996,1.4000000000000001
m4xrhESFLaA7PiddXeg2aw,Pierre Lafond Wine Bistro,0,93101,3,1.41,0.39,1.8000000000000003,1.4300000000000002,3.11
WVNkMz4sEl35swjVtKHOFw,Alessia Patisserie & Cafe,1,93101,3,2.04,1.4000000000000001,1.77,0.6100000000000001,2.34
_6p_j0UL7ST3b2nvHw82eA,REBAR COFFEE + KTCHN,0,93101,3,1.2900000000000003,3.94,1.03,0.5000000000000001,2.54
9uJuBPIQyrC0v9pVv3JKRQ,Panera Bread,0,93105,3,-0.06999999999999995,0.36,0.5599999999999999,1.1500000000000001,0.45999999999999985
1kVnChI4aqsPw9i2PVqkkw,Fresco Cafe,1,93105,3,1.29,0.49000000000000005,2.9899999999999998,2.91,3.45
aD490g5tyGScrxRZP_d1gw,Enjoy Cupcakes,0,93101,3,1.2,1.29,3.81,0.22000000000000003,1.89
5GUA13zYgw4_8F6qUMU_LA,Green Star Coffee,0,93101,3,0.38,1.95,0.08000000000000002,0.35000000000000003,0.55
FQxEfhBd1gMrurP19bhK8w,Mama's Bakery & Deli,0,93111,3,0.07,0.07,0.4800000000000001,0.23,0.77
Kg71HUigI1rnY3UMFiLx0w,Tangonadas,0,93101,3.2,0.88,0.31,0.16999999999999998,0.18999999999999997,0.7899999999999999
CO5UeHEX1AcK5yRzFVr2Ew,Fresh & Easy,0,93103,3,0.07999999999999999,0.07,0.16,0.31999999999999995,0.25
PGVZjuHpB5s5jFMKqKdCmw,Our Daily Bread,0,93101,3,0.18999999999999997,0.12000000000000001,0.38,0.30000000000000004,0.24
CwL56LgcMz7Bvi4xODHVSw,La Arcada Bistro,0,93101,3,1.03,0.12,0.6900000000000002,0.5200000000000001,1.5499999999999998
hPzPpfSjgQkpWCD7YjcY-A,Lilac Pâtisserie,1,93101,3,6.38,5.800000000000001,7.45,21.77,14.740000000000002
s4k1P9FHfPUzw3dqXRp7eA,LOKUM Turkish Delight & Baklava,1,93101,3,2.98,2.84,0.7200000000000001,1.03,2.7500000000000004
0RxU5OglQyPVtLKC1LPgsA,Bree'osh,1,93108,3,3.53,7.24,6.7299999999999995,1.6999999999999997,7.93
VAIOtbsxdNmuhUKkQZFRlA,Renaud's Patisserie & Bistro,1,93105,3,3.1900000000000004,7.8100000000000005,7.5200000000000005,2.1599999999999997,7.11
XgehM3pBZWuXi45J2dqRJQ,Green Table,1,93101,3,2.0700000000000003,3.6799999999999997,2.1399999999999997,5.7,7.83
wb6rAxDPWP_5AAl3CKCM1w,Insomnia Cookies,1,93101,3,0.07,0.67,0.6200000000000001,0.55,0.7999999999999999
UuRZpgZsHX7PyykHV3wbZg,Crushcakes & Cafe,1,93101,3,5.749999999999999,9.139999999999999,11.680000000000001,5.93,10.51
edDmC1Zcr5SVczbKBfiXqw,Montecito Village Grocery,1,93108,3,0.11000000000000001,0.08,0.1,0.06,0.18000000000000002
u9oG6CVhS9dJR5ZHS5q23A,The Little Things Bakery,1,93109,3,0.8400000000000001,0.86,1.56,1.85,2.5100000000000002
Ss6f5v_t5Vddiaz4ZOxL0g,Andersen's Danish Bakery & Restaurant,1,93101,3,9.389999999999999,7.4399999999999995,12.26,6.22,17.13
iQ_JNYzwvhSsToR4EHl4cA,Le Macaron French Pastries,0,93101,3,0.4,0.5,0.46,0.5700000000000001,0.42
Y0izXh4Dv1_YU68tn43Xiw,Handlebar Coffee Roasters,1,93105,3,2.01,6.939999999999999,1.22,1.1400000000000001,2.9799999999999995
B1yPXzIIJrLWyTcE4jsYuQ,Goat Tree,1,93101,3,2.59,1.27,2.5500000000000007,1.76,3.64
eA1-vRvk8eDf-nH9Ux_G_A,Whodelicious,0,93101,3,0.36000000000000004,0.42000000000000004,0.6699999999999999,0.30999999999999994,0.27
3tvi-OJ_-iK1ecjzSaH-oA,Hook And Press Donuts,1,93101,3,1.3299999999999998,2.33,3.1199999999999997,1.05,2.2800000000000002
PtaFDKkhxSjcXz6dVM0uLw,Deux Bakery,1,93103,3,0.33,0.5,0.9200000000000002,0.41000000000000003,0.7
tiSIiacOzflrMMwJEXVFIA,Dunkin',0,93105,3,0.52,0.9500000000000001,0.6599999999999999,0.69,0.7499999999999999
izSgTrqebu8bN8ONOCs6cQ,Oat Bakery,1,93101,3,0.6499999999999999,0.52,1.35,2.38,2.31
