business_id,is_open,avg_rating,opening_year,closing_year,geometry
IDtLPgUrqorrpqSLdfMhZQ,1,4.216957605985037,2016,2147483647,"c(-119.6906718, 34.4144445)"
bjhCtlYHrkgA5Ku8l-rB3g,0,3.5233644859813085,2013,2017,"c(-119.725001, 34.435812)"
O6RCCmz8-x4NhWJpI8KQug,0,4.018018018018018,2016,2020,"c(-119.6998998701, 34.4177795287)"
ghLjxj4HoSHdflBEz2lIqA,1,3.6782608695652175,2007,2147483647,"c(-119.735118, 34.439341)"
23OxrUaCvvVrwSa1z3xG-w,1,4.343511450381679,2012,2147483647,"c(-119.6946664, 34.4202441)"
QS0a4snAEc-zdLeLIgTaHg,0,4.964912280701754,2011,2017,"c(-119.7107494, 34.420334)"
-loV4cB2Uh9TCltTRgGzWQ,1,4.2072538860103625,2009,2147483647,"c(-119.7059071571, 34.4253682196)"
PT99vOEnfEwfOly9YoWvXg,0,4.785714285714286,2010,2021,"c(-119.7156141, 34.4304752)"
LtxG9DTXCFpteVkD4SGBlw,1,4.166666666666667,2011,2147483647,"c(-119.7000324, 34.421359)"
VgAKmXE8B7J0I_O_R13UKQ,1,3.9827586206896552,2006,2147483647,"c(-119.6944335, 34.41507)"
JZrspVMm79n_iHTYftkI0g,1,4.035714285714286,2008,2147483647,"c(-119.6897619065, 34.4301395303)"
Hj44PIrCtv61ETVclzLMwg,0,4.007853403141361,2010,2021,"c(-119.7028282, 34.4230808)"
Z0mBsgDzDnFAEC5o4X6G9g,1,3.6634615384615383,2006,2147483647,"c(-119.7719422, 34.4394311)"
FH0MVF7kK0D76Hh4e7hXfQ,1,4.055077452667814,2008,2147483647,"c(-119.7408847, 34.4401942)"
cQDwJjslebJv5Co7gCm2Yw,0,4.119565217391305,2018,2021,"c(-119.7035713, 34.4243818)"
m4xrhESFLaA7PiddXeg2aw,0,3.6894736842105265,2007,2015,"c(-119.6959549, 34.4173624)"
WVNkMz4sEl35swjVtKHOFw,1,4.730434782608696,2021,2147483647,"c(-119.6983611, 34.4224228151)"
_6p_j0UL7ST3b2nvHw82eA,0,4.024539877300613,2015,2017,"c(-119.691915844, 34.414441053)"
9uJuBPIQyrC0v9pVv3JKRQ,0,2.3555555555555556,2012,2020,"c(-119.7491244972, 34.4396526051)"
1kVnChI4aqsPw9i2PVqkkw,1,3.8900709219858154,2006,2147483647,"c(-119.7514181468, 34.4394181202)"
aD490g5tyGScrxRZP_d1gw,0,4.598802395209581,2014,2020,"c(-119.7070539, 34.4236075)"
5GUA13zYgw4_8F6qUMU_LA,0,4.317460317460317,2014,2019,"c(-119.7068980126, 34.4235443109)"
Kg71HUigI1rnY3UMFiLx0w,0,4.579710144927536,2017,2018,"c(-119.702223, 34.4220679)"
CwL56LgcMz7Bvi4xODHVSw,0,3.4275862068965517,2012,2018,"c(-119.7032241, 34.4227118)"
hPzPpfSjgQkpWCD7YjcY-A,1,4.419834710743801,2015,2147483647,"c(-119.7026997, 34.4216848)"
s4k1P9FHfPUzw3dqXRp7eA,1,4.463829787234043,2020,2147483647,"c(-119.70249, 34.421738)"
0RxU5OglQyPVtLKC1LPgsA,1,4.555772994129159,2015,2147483647,"c(-119.64647306, 34.4214078817)"
VAIOtbsxdNmuhUKkQZFRlA,1,4.259740259740259,2008,2147483647,"c(-119.7358901, 34.4394292)"
XgehM3pBZWuXi45J2dqRJQ,1,4.299401197604791,2014,2147483647,"c(-119.7007018, 34.4178719)"
wb6rAxDPWP_5AAl3CKCM1w,1,3.6578947368421053,2020,2147483647,"c(-119.6950827, 34.4167934)"
UuRZpgZsHX7PyykHV3wbZg,1,3.8154613466334166,2008,2147483647,"c(-119.7052413177, 34.4257198484)"
u9oG6CVhS9dJR5ZHS5q23A,1,4.6940298507462686,2012,2147483647,"c(-119.7248996, 34.4021549)"
Ss6f5v_t5Vddiaz4ZOxL0g,1,3.8899733806566106,2005,2147483647,"c(-119.703303, 34.422719)"
iQ_JNYzwvhSsToR4EHl4cA,0,3.8076923076923075,2016,2021,"c(-119.7001905, 34.419845)"
Y0izXh4Dv1_YU68tn43Xiw,1,4.450892857142857,2017,2147483647,"c(-119.7255464, 34.4364214)"
B1yPXzIIJrLWyTcE4jsYuQ,1,3.5962732919254656,2017,2147483647,"c(-119.6906522184, 34.4134723455)"
3tvi-OJ_-iK1ecjzSaH-oA,1,4.36322869955157,2018,2147483647,"c(-119.7028496606, 34.4233020318)"
PtaFDKkhxSjcXz6dVM0uLw,1,4.6923076923076925,2016,2147483647,"c(-119.6849868, 34.4253387)"
tiSIiacOzflrMMwJEXVFIA,0,2.9479166666666665,2016,2020,"c(-119.7457746372, 34.4402855669)"
izSgTrqebu8bN8ONOCs6cQ,1,4.790322580645161,2017,2147483647,"c(-119.6956258296, 34.4165478074)"
