business_id,average_value,sentiment_label
-loV4cB2Uh9TCltTRgGzWQ,0.21864951768488747,below average
0RxU5OglQyPVtLKC1LPgsA,0.5413793103448276,below average
1kVnChI4aqsPw9i2PVqkkw,0.07094594594594594,below average
23OxrUaCvvVrwSa1z3xG-w,0.976878612716763,good
3tvi-OJ_-iK1ecjzSaH-oA,0.3272058823529412,below average
4gPWSVCRzHvJ7i6LuNrCvA,0.6923076923076923,below average
5GUA13zYgw4_8F6qUMU_LA,1.2884615384615385,good
7grEnJV48N6BxbEP3uxISA,0.9019607843137255,good
7kLn2XsFwyJ-yFn4qx40TQ,1.453125,good
8JzURExziDYuCrd7Ve9nDQ,0.8235294117647058,good
9YFeX5sbn785n31iR3I77Q,1.7741935483870968,excellent
9uJuBPIQyrC0v9pVv3JKRQ,-0.023715415019762844,need work
B1yPXzIIJrLWyTcE4jsYuQ,0.021341463414634148,below average
CO5UeHEX1AcK5yRzFVr2Ew,0.425531914893617,below average
CwL56LgcMz7Bvi4xODHVSw,0.2583732057416268,below average
DdD7j67fu8kM6DkvY4JCIA,1.25,good
FH0MVF7kK0D76Hh4e7hXfQ,0.14666666666666667,below average
FQxEfhBd1gMrurP19bhK8w,0.6428571428571429,below average
Hj44PIrCtv61ETVclzLMwg,0.21,below average
IDtLPgUrqorrpqSLdfMhZQ,0.33223684210526316,below average
IRBhPAC4ZoDpXazpoB3epQ,1.9166666666666667,excellent
JZrspVMm79n_iHTYftkI0g,0.5384615384615384,below average
JxVPdQrAac7qNUnwse7xcw,1.0638297872340425,good
Kg71HUigI1rnY3UMFiLx0w,1.19,good
L4-_gPiqsuX50JN_-qUhNQ,1.4880952380952381,good
LtxG9DTXCFpteVkD4SGBlw,0.3523489932885906,below average
M3LZKA-tVFRJyPeKA3_2OA,0.9428571428571428,good
NTWeW_PgQjIZ38h8St7mCQ,1.3414634146341464,good
O6RCCmz8-x4NhWJpI8KQug,0.6284153005464481,below average
PGVZjuHpB5s5jFMKqKdCmw,0.4375,below average
PT99vOEnfEwfOly9YoWvXg,1.5578947368421052,excellent
PtaFDKkhxSjcXz6dVM0uLw,1.2543859649122806,good
QS0a4snAEc-zdLeLIgTaHg,1.6542056074766356,excellent
Ss6f5v_t5Vddiaz4ZOxL0g,-0.003316749585406302,need work
T5serOgucL236udCsZI0jA,0.2553191489361702,below average
ToqcYJVdnrp4fefaucm-Vg,1.5,good
UGADjVkBITKPU7I6sMO1oQ,1.375,good
UuRZpgZsHX7PyykHV3wbZg,0.014028056112224449,below average
VAIOtbsxdNmuhUKkQZFRlA,0.17590361445783131,below average
VgAKmXE8B7J0I_O_R13UKQ,0.22841225626740946,below average
WQnjp_CEYTYKBBKJDME0bQ,-0.09722222222222222,need work
WVNkMz4sEl35swjVtKHOFw,1.0930232558139534,good
WgOoT_oNQ6o5xjF8jO2rvA,0.9047619047619048,good
XXsofYxziipczzc3OFDD5Q,0,need work
XgehM3pBZWuXi45J2dqRJQ,0.43,below average
Y0izXh4Dv1_YU68tn43Xiw,0.5778688524590164,below average
YrNtBUOUOYwmRZ_UVwH8iQ,-0.014492753623188406,need work
Z0mBsgDzDnFAEC5o4X6G9g,0.11513157894736842,below average
_6p_j0UL7ST3b2nvHw82eA,0.22009569377990432,below average
aD490g5tyGScrxRZP_d1gw,0.6794258373205742,below average
aZF_j037W3AhvKKbXGdIQw,1.3125,good
bjhCtlYHrkgA5Ku8l-rB3g,0.5238095238095238,below average
cQDwJjslebJv5Co7gCm2Yw,0.8035714285714286,good
eA1-vRvk8eDf-nH9Ux_G_A,0.81,good
edDmC1Zcr5SVczbKBfiXqw,0.09722222222222222,below average
ghLjxj4HoSHdflBEz2lIqA,0.32978723404255317,below average
hPzPpfSjgQkpWCD7YjcY-A,0.291970802919708,below average
iQ_JNYzwvhSsToR4EHl4cA,0.5727272727272728,below average
izSgTrqebu8bN8ONOCs6cQ,0.7619047619047619,good
jWgZRpdHy8csA1sUz1auSw,0.2807017543859649,below average
jWhlz8LesaC7jZL9bHNe9A,1.4210526315789473,good
m4xrhESFLaA7PiddXeg2aw,0.3057553956834532,below average
ng12rnK6ZGFddlC15c6Pqg,-0.03225806451612903,need work
pGtaxpSxxpmqPs6FAR1W_A,-0.16901408450704225,need work
pqlCSlwPp3unjiEBcZe94g,1.9090909090909092,excellent
rwAePQunJwl6WZP8NhWmbQ,1.25,good
s4k1P9FHfPUzw3dqXRp7eA,0.7554585152838428,good
tiSIiacOzflrMMwJEXVFIA,0.23841059602649006,below average
u9oG6CVhS9dJR5ZHS5q23A,0.9715909090909091,good
upxQiiUF-6NM9jOJCxS_hg,1.05,good
wb6rAxDPWP_5AAl3CKCM1w,0.5982905982905983,below average
x1-RLqVvspmksSiICHCcRw,2.36,excellent
xIGiif0TmmmGuV2-sidMSw,0.5368421052631579,below average
